"","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","commercial","residential"
"1","56","01779807","0400000US56","56","WY","Wyoming","00",251458712294,1867503716,17525132700,278473275554
"2","02","01785533","0400000US02","02","AK","Alaska","00",1478942847588,245378425142,21383809600,493759788521.5
"3","24","01714934","0400000US24","24","MD","Maryland","00",25151992308,6979074857,275016251800,10302885150466.4
"4","05","00068085","0400000US05","05","AR","Arkansas","00",134660767709,3121950081,136799688400,1364482636404
"5","38","01779797","0400000US38","38","ND","North Dakota","00",178694310772,4414779956,22310449100,1059481302258
"6","10","01779781","0400000US10","10","DE","Delaware","00",5046731559,1399179670,39870884800,855981409892.8
"7","35","00897535","0400000US35","35","NM","New Mexico","00",314198560947,726482113,81287907900,1389822274042.5
"8","49","01455989","0400000US49","49","UT","Utah","00",213355072799,6529973239,154450249900,2615488777751
"9","54","01779805","0400000US54","54","WV","West Virginia","00",62266298634,489204185,76625014900,756226619290.5
"10","20","00481813","0400000US20","20","KS","Kansas","00",211753717642,1345767737,140621835800,1817036327486
"11","13","01705317","0400000US13","13","GA","Georgia","00",149486624386,4418360134,572687848200,11867947141133.4
"12","28","01779790","0400000US28","28","MS","Mississippi","00",121533935354,3914344129,117890512900,1067549724893
"13","27","00662849","0400000US27","27","MN","Minnesota","00",206232627084,18949394733,302703506000,10861025964782
"14","33","01779794","0400000US33","33","NH","New Hampshire","00",23190115212,1025971768,69078365200,1163735302235.5
"15","29","01779791","0400000US29","29","MO","Missouri","00",178052333716,2487445715,284967647100,4507144376198
"16","16","01779783","0400000US16","16","ID","Idaho","00",214049931578,2391569647,77435573500,912033244005
"17","46","01785534","0400000US46","46","SD","South Dakota","00",196342918877,3386737669,22538651900,589407074916
"18","42","01779798","0400000US42","42","PA","Pennsylvania","00",115881784866,3397909903,677749526800,14513765092307.1
"19","40","01102857","0400000US40","40","OK","Oklahoma","00",177664154114,3373725677,193161537400,2194749675701
"20","18","00448508","0400000US18","18","IN","Indiana","00",92789363558,1541248299,376606251300,4065714584176
"21","34","01779795","0400000US34","34","NJ","New Jersey","00",19048916230,3533083369,515773489400,20753028328595.7
"22","31","01779792","0400000US31","31","NE","Nebraska","00",198957385713,1371105730,87933023500,1660189557844
"23","08","01779779","0400000US08","08","CO","Colorado","00",268418796417,1185716938,301222051400,9387966147532
"24","36","01779796","0400000US36","36","NY","New York","00",122049142543,19257128505,950930374500,92712964511764.4
"25","30","00767982","0400000US30","30","MT","Montana","00",376973729130,3866634365,30534208000,709164161322
"26","21","01779786","0400000US21","21","KY","Kentucky","00",102283004821,2367816964,210399288100,2101337767665
"27","50","01779802","0400000US50","50","VT","Vermont","00",23872569964,1030754609,15617452400,432430258360
"28","11","01702382","0400000US11","11","DC","District of Columbia","00",158316124,18709762,41439771500,5305832023670.5
"29","12","00294478","0400000US12","12","FL","Florida","00",138961722096,45972570361,1104925248900,46664432518876.4
"30","32","01779793","0400000US32","32","NV","Nevada","00",284537290201,1839636284,247664504700,4800530371362
"31","47","01325873","0400000US47","47","TN","Tennessee","00",106791957894,2322601737,412040576900,5331984400565
"32","19","01779785","0400000US19","19","IA","Iowa","00",144659721012,1085964740,132050133400,2160872740650
"33","01","01779775","0400000US01","01","AL","Alabama","00",131175477769,4591897964,218910124800,2871257732895
"34","26","01779789","0400000US26","26","MI","Michigan","00",146614937132,103871870536,608051012400,8563848533315
"35","06","01779778","0400000US06","06","CA","California","00",403671756816,20293573058,2306670897200,84498129885144.6
"36","09","01779780","0400000US09","09","CT","Connecticut","00",12541690473,1816424193,203852473800,5267205830340
"37","04","01779777","0400000US04","04","AZ","Arizona","00",294363973043,855871553,306896712400,9755051026683.35
"38","48","01779801","0400000US48","48","TX","Texas","00",676681550479,18978390713,1372225993800,40367291590466.5
"39","51","01779803","0400000US51","51","VA","Virginia","00",102258210137,8528040726,372486667800,12372504421965.4
"40","17","01779784","0400000US17","17","IL","Illinois","00",143778561906,6216493488,709699470400,20679283136500
"41","15","01779782","0400000US15","15","HI","Hawaii","00",16634147169,11777652105,85288543800,5701606300020
"42","41","01155107","0400000US41","41","OR","Oregon","00",248628414476,6170965739,203630489100,6060156736832
"43","44","01219835","0400000US44","44","RI","Rhode Island","00",2677763359,1323686988,57194146600,1635242050916
"44","45","01779799","0400000US45","45","SC","South Carolina","00",77866200776,5074243221,336127576900,3725160272414
"45","53","01779804","0400000US53","53","WA","Washington","00",172118963546,12548738684,335752137700,13130890701113.5
"46","22","01629543","0400000US22","22","LA","Louisiana","00",111915258185,23736382213,165131179000,3128023610742
"47","23","01779787","0400000US23","23","ME","Maine","00",79888263364,11745102727,60447854100,852973772590
"48","39","01085497","0400000US39","39","OH","Ohio","00",105823653399,10274702852,748149183300,10308729700060
"49","55","01779806","0400000US55","55","WI","Wisconsin","00",140292321657,29343646672,329760822300,6126290784555
"50","37","01027616","0400000US37","37","NC","North Carolina","00",125933327733,13456093195,531316447400,7150186341605.5
"51","25","00606926","0400000US25","25","MA","Massachusetts","00",20204390225,7130660432,409134097000,15637501798793
